,name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,ratio,pixel,WLAN,Colors,Sensors,Bluetooth,GPU,Loudspeaker,3.5mm jack,Chipset,Network,Card slot,Storage,RAM
0,alcatel 1b (2022),alcatel,True,True,True,False,2022.0,Available,172.0,146.7,71.9,10.0,Nano-SIM,TFT LCD,5.5,293.0,74.0,Android 11,3000.0,100.0,4.0,18:9,1036800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Prime Black, Atlantic Blue",Accelerometer,"5.0, A2DP",PowerVR GE8300,True,True,Mediatek MT6761 Helio A22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/11.1 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),32GB,2GB
1,alcatel 1l pro (2021),alcatel,True,True,True,False,2021.0,Available,190.0,156.4,74.8,9.7,Nano-SIM,IPS LCD,6.1,282.0,78.1,Android 11,3000.0,110.0,8.0,5:9,1123200.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Power Grey, Twilight Blue","Fingerprint (rear-mounted), accelerometer, proximity","4.2, A2DP",IMG8322,True,True,Unisoc SC9863A (28nm),"GSM / HSPA / LTE HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,2GB
2,alcatel 1 (2021),alcatel,True,True,True,False,2021.0,Available,134.0,137.6,65.7,9.8,Nano-SIM,TFT LCD,5.0,215.0,71.4,Android 11,2000.0,60.0,4.0,18:9,460800.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Volcano Black, AI Aqua","Accelerometer, proximity","4.2, A2DP, LE",PowerVR GE8100,True,True,Mediatek MT6739 (28 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC (dedicated slot),8GB,1GB
3,alcatel 3l (2021),alcatel,True,True,True,False,2021.0,Available,194.0,165.6,75.6,8.7,Nano-SIM,IPS LCD,6.52,269.0,82.0,Android 11,4000.0,330.0,8.0,20:9,1152000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Jewelry Blue, Jewelry Black","Fingerprint (rear-mounted), accelerometer, proximity, compass","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6762D Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (only single sim model),64GB,4GB
4,alcatel 1s (2021),alcatel,True,True,True,False,2021.0,Available,190.0,165.6,75.6,8.8,Nano-SIM,IPS LCD,6.52,269.0,82.0,Android 11,4000.0,130.0,8.0,20:9,1152000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Elegant Black, Twilight Blue","Fingerprint (rear-mounted), accelerometer, proximity, compass","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6762D Helio P22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,3GB
5,alcatel 1l (2021),alcatel,True,True,True,False,2021.0,Available,179.0,155.9,74.5,9.9,Nano-SIM,IPS LCD,6.1,282.0,78.6,Android 11,3000.0,110.0,4.0,5:9,1123200.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Power Grey, Twilight Blue","Fingerprint (rear-mounted), accelerometer, proximity","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6761D Helio A20 (12 nm),"GSM / HSPA / LTE HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,2GB
6,alcatel 1v (2021),alcatel,True,True,True,False,2021.0,Available,190.0,165.2,75.5,8.9,Nano-SIM,IPS LCD,6.52,269.0,82.3,Android 11,5000.0,100.0,4.0,20:9,1152000.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Space Gray, Atlantic Blue","Fingerprint (rear-mounted), accelerometer, proximity, compass","5.0, A2DP, LE",PowerVR GE8320,True,True,Mediatek MT6761 Helio A22 (12 nm),"GSM / HSPA / LTE HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),32GB,2GB
7,alcatel 1se (2020),alcatel,True,True,True,False,2020.0,Available,175.0,159.2,75.2,8.7,Nano-SIM,IPS LCD,6.22,270.0,80.7,Android 10,4000.0,150.0,8.0,19:9,1094400.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","Agate Greeen, Power Gray","Fingerprint (rear-mounted), accelerometer, proximity","4.2, A2DP",IMG8322,True,True,Unisoc SC9863A (28nm),"GSM / HSPA / LTE HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),32GB,3GB
8,alcatel go flip 4,alcatel,True,True,True,False,2021.0,Available,133.0,107.3,55.6,19.9,Nano-SIM,TN TFT LCD,2.8,143.0,40.7,KaiOS 3.0,1850.0,120.0,4.0,4:3,76800.0,"Wi-Fi 802.11 b/g/n, hotspot",Midnight Blue,,"4.2, A2DP",Adreno 308,True,True,QM215 Snapdragon 215 (28 nm),"GSM / HSPA / LTE HSPA, LTE",microSDHC (dedicated slot),4GB,512MB
9,alcatel go flip 3,alcatel,True,True,True,False,2019.0,Available,118.0,104.9,53.1,20.1,Nano-SIM,TN TFT LCD,2.8,143.0,43.6,KaiOS 2.5.2,1350.0,80.0,4.0,4:3,76800.0,"Wi-Fi 802.11 b/g/n, hotspot",Prime Black,,"4.2, A2DP",Adreno 304,True,True,Qualcomm MSM8909 Snapdragon 210 (28 nm),"GSM / CDMA / HSPA / LTE HSPA, LTE",microSDHC (dedicated slot),4GB,512MB
